INPUT,English
TITLE,Hello
SELECT,Change language
TITLE,Login to your Fullbridge Link account
TITLE_NEW,Login to your Link account
SUB_TITLE,Welcome to Fullbridge customer service portal. Login with username and password that you received.
FORGOT_PASSWORD,Forgot Password?
REMIND_ME,Remind me
MSG_USER_REQUIRED,Username is required
MSG_PASSWD_REQUIRED,Password is required
MSG_NEW_PASSWD_LENGTH_RULE,New password should have atleast 6 characters in length
MSG_NEW_PASSWD_CHAR_RULE,New password should have atleast one character
MSG_NEW_PASSWD_NUMBER_RULE,New password should have atleast one number
MSG_NEW_PASSWD_UPPER_RULE,New password should have atleast one upper case
MSG_NEW_PASSWD_SPECIAL_CHAR_RULE,New password should have atleast one special character
MSG_COMPARE_PASSWD,Confirm password not equal to New password
MSG_PASSWD_RESULT,Password Result
MSG_CONFIRM_PASSWD_REQUIRED,Confirm Password is required
MSG_CURRENT_PASSWD_REQUIRED,Current Password is required
MSG_NEW_PASSWD_REQUIRED,New Password is required
LBL_USERNAME,Enter user name
LBL_PASSWORD,Enter password
LBL_MSG,"Do not let risks happen, let data manage your product supply chain."
LBL_LANGUAGE,Language
LBL_LOGIN,Login
LBL_EMAIL,Email
LBL_TITLE,Can't Log in?
LBL_USERID,User Id
LBL_SEND,Send Recovery Email
FOOTER,© 2019 - 2024 All rights reserved. Fullbridge.io
FOOTER_NEW,All Rights Reserved.
FOOTER_COPYRIGHT,Copyright
LBL_TAGLINE_MAIN,Specialists In Quality Assurance For
LBL_TAGLINE_SUB,Household Goods and Toys
LBL_PASSWORD_MAIN,Change Password
LBL_CURRENT_PASSWORD,Current Password
LBL_CONFIRM_PASSWORD,Confirm Password
LBL_NEW_PASSWORD,New Password
LBL_PASSWORD_RESET,Reset
MSG_CHANGEPASSWORD_SUCCESS,Password has been changed successfully
MSG_RESETPASSWORD_SUCCESS,Password has been reset successfully
MSG_PASSWORD_NOTSAVED,Password Not Saved
MSG_CURRENT_PASSWORDNOTAVAIALABLE,Current password is incorrect
MSG_LOGINFAILED,The username or password you entered is incorrect.
LBL_WARM_SAFETY,Worms Safety Website
LBL_Contact,Contact
LBL_TERMS_CONDITION,Terms & Conditions
MSG_VALID_USERID,Please enter a valid UserId
LBL_RESET_PASSWORD,Reset Password
MSG_SUCCESS_RESET,Recovery email send successfully
MSG_REQUIRED_EMAIL,UserId is required
MSG_PASSWORD_NOTRESET,Password Not Reset
MSG_LOGIN_PASSWORD,Please Contact To Customer Service
TITLE,Staff Summary
LBL_SEARCH,Search
LBL_NEMPLOYEE,Employee No
PH_LNEMPLOYEE,Please Enter Employee No
LBL_POSITION,Position
LBL_SELECT,Select
LBL_DEPARTMENT,Department
LBL_STAFFNAME,Staff Name
PH_STAFFNAME,Please Enter Staff Name
LBL_OFFICE,Fullbridge Office
LBL_COUNTRY,Country
LBL_ADD,Add
LBL_EXPORT,Export
LBL_NAME,Name
LBL_COUNTRYNAME,Country name
LBL_JOINDATE,Join Date
LBL_OFFICENAME,Office name
LBL_EMPLOYEETYPE,Employee Type
MSG_SHOWING,Showing
MSG_TO,to
MSG_OF,of
MSG_RECORDS,records
LBL_PREVIOUS,Previous
LBL_NEXT,Next
SELECTALL,Select all
UNSELECTALL,Unselect all
LBL_REMOVE,Remove
LBL_CONFIRMDELETION,Confirm deletion
LBL_CONFIRMQUESTION,Are you sure you want to delete
LBL_CONFIRMDEL,All information associated to this user profile will be permanently deleted.
LBL_CONFIRMNOTUNDONE,This operation can not be undone
LBL_CONFIRMCANCEL,Cancel
LBL_CONFIRMOK,OK
LBL_DELETE,Delete
LBL_LEAVEDATE,Leave date
PH_LEAVEDATE,Leave date
LBL_REASON,Reason
PH_REASON,Reason
MSG_LEAVEDATE_REQ,Leave date is required
MSG_LEAVEDATE_DATE,Leave date has no valid date
MSG_REASON_REQ,Reason is required
MSG_STATUS_REQ,Status is required
LBL_STATUS_NAME,Status Name
MSG_USER_ACCOUNT_NOT_DELETE,User Acoount not Deleted
LBL_HELLO,Hello
LBL_ONLINE,Online
LBL_WELCOME,Welcome
LBL_CHANGEPASSWD,Change password
LBL_SIGNOUT,Sign out
LBL_NOTIFICATION,Notification (Top 50)
LBL_TASK,Task (Top 50)
LBL_APPEARANCE,Appearance
LBL_LIGHT_MODE,Light Mode
LBL_DARK_MODE,Dark Mode
MSG_NO_TASK,No Pending Task
MSG_NO_NOTIFICATION,No Pending Notification
LBL_HEADER_HELP_YOU,We’re here to help you!
LBL_HEADER_PLEASE_CONTACT_US,"Please contact us with any questions, we’re always happy to help."
LBL_SERVICE_DESK,Fullbridge IT support
LBL_CREATE_NEW_TICKET,Create New Ticket
LBL_SEND_QUERY,Send Query
LBL_SUPPLIER_PLS_SEND_EMAIL,please contact us with the following email
LBL_CUSTOMER_SERVICE_EXECUTIVE,Customer Service Executive
LBL_SGT_TITLE_1,"Monitor and manage your textile quality actions anytime, and anywhere."
LBL_SGT_TITLE_2,Full visibility in 1 single platform
LBL_SGT_TITLE_3,Dynamic statistics & KPIs
LBL_SGT_TITLE_4,"Textile, apparel & footwear expertise"
LBL_SGT_TITLE_5,ROI oriented technical solutions
LBL_SGT_TITLE_6,Field x lab cross-expertise
LBL_SGT_TITLE_7,Download the Fullbridge Link
LBL_SGT_TITLE_8,Visit our blog for the latest industry news
LBL_SGT_TITLE_9,TM
LBL_SGT_TITLE_10,mobile app
LBL_AQF_TITLE_1,"Monitor and manage your textile quality actions anytime, and anywhere."
LBL_AQF_TITLE_2,Full visibility in 1 single platform
LBL_AQF_TITLE_3,Dynamic statistics & KPIs
LBL_AQF_TITLE_4,Consumer goods expertise
LBL_AQF_TITLE_5,Same day report & 1-day advance booking
LBL_AQF_TITLE_6,100% tailor-made solutions
LBL_AQF_TITLE_7,Visit our blog for the latest industry news
LBL_AQF_TITLE_8,Download the AQF Link
LBL_AQF_TITLE_9,TM
LBL_AQF_TITLE_10,mobile app
LBL_API_TITLE_1,"Monitor and manage your household goods & toys quality actions anytime, and anywhere."
LBL_API_TITLE_2,Full visibility in 1 single platform
LBL_API_TITLE_3,Dynamic statistics & KPIs
LBL_API_TITLE_4,Household goods & toys expertise
LBL_API_TITLE_5,ROI oriented technical solutions
LBL_API_TITLE_6,Field x lab cross-expertise 
LBL_API_TITLE_7,Visit our blog for the latest industry news
LBL_API_TITLE_8,Download the Fullbridge Link
LBL_API_TITLE_9,TM
LBL_API_TITLE_10,mobile app
LBL_INSPECTION,Inspection
LBL_INSPECTION_SUB_TITLE,"Raw materials, product quality & compliance at any stage"
LBL_AUDIT,Audit
LBL_AUDIT_SUB_TITLE,"Technical, Social & Environmental"
LBL_LAB,Lab Testing
LBL_LAB_SUB_TITLE,"Compliance, Fit-for-Use & Performance"
LBL_TCF,I -TCF
LBL_TCF_SUB_TITLE,Intergrity & Technical compliance of your products
LBL_VIEW,View
LBL_LEARN_MORE,Learn More
TITLE,Staff Register
LBL_PERSOPART,Personal Particulars
LBL_EMPLOYEENO,Employee No
PH_EMPLOYEENO,Please Enter Employee No
LBL_DATEBIRTH,Date of Birth
PH_DATEBIRTH,Please Enter Date of Birth
LBL_COUNTRY,Country
LBL_NAME,Person name
PH_NAME,Please Enter Person Name
LBL_QUALIFICATION,Qualification
LBL_NATIONALITY,Nationality
LBL_LOCALLANGUAGE,Regional language name
PH_LOCALLANGUAGE,Please Enter Regional language name
LBL_GRADUATE,Graduate school
PH_GRADUATE,Please Enter Graduate school
LBL_EMERCONTACT,Emergency contact person
PH_EMERCONTACT,Please Enter Emergency contact person
LBL_GENDER,Gender
LBL_SELECT,Select
LBL_GRADUATEDATE,Graduate date
PH_GRADUATEDATE,Please Enter Graduate date
LBL_EMRPHONE,Emergency contact phone
PH_EMRPHONE,Please Enter Emergency contact phone
LBL_MARTIAL,Marital Status
LBL_PASSPORT,Passport/ ID nbr
PH_PASSPORT,Please Enter PassportNo
LBL_SKYPE,Skype ID
PH_SKYPE,Please Enter Skype ID
LBL_EMAIL,Email address (Personal)
PH_EMAIL,Please Enter Email Address
LBL_CONTACTNBR,Contact Nbr
PH_CONTACTNBR,Please Enter Contact Nbr
LBL_JOINDATE,Join Date
PH_JOINDATE,Please Enter Join Date
TAB_EMPLOYEEINFO,Employee informations
LBL_POSITION,Position
LBL_COMPANYEMAIL,Company Email
PH_COMPANYEMAIL,Please Enter Company Email
LBL_BANKNAME,Bank Name
PH_BANKNAME,Please Enter Bank Name
LBL_REPORTHEAD,Report head
LBL_COMPANYMOBILE,Company mobile
PH_COMPANYMOBILE,Please Enter Company mobile
LBL_BANKACCOUNT,Bank Account
PH_BANKACCOUNT,Please Enter Bank Account
LBL_EMPLOYEETYPE,Employee Type
LBL_ANNUALLEAVE,Annual leave
PH_ANNUALLEAVE,Please Enter Annual leave
LBL_SOCASSCARDNO,Social insurance card No
PH_SOCASSCARDNO,Please Enter Social insurance card No
LBL_OFFICE,Branch office
LBL_PROBEXPDATE,Probation Expired Date
PH_PROEXPDATE,Please Enter probation expired date
LBL_HOUSINGFUNDCARD,Housing fund card No
PH_HOUSINGFUNDCARD,Housing fund card
LBL_QCSTARTPLACE,Qc Start Place
LBL_PROBATIONPERIOD,Probation Period
PH_PROBATIONPERIOD,Please Enter probation period
LBL_PLACEPURCHF,Social Insurance & HF place
LBL_DEPARTMENT,Category
LBL_SUBDEPARTMENT,Departement
LBL_PROFILE,Profile
LBL_OPERATION_COUNTRY,Operational Country
LBL_PAYROLLCURRENCY,Payroll Currency
LBL_ISAUDITOR,Is Auditor
LBL_LABOREXPDATE,Labor contract expired date
LBL_ADDRESS,Address
LBL_HOMEADDRESS,Home address
LBL_ADR_COUNTRY,Country
LBL_ADR_STATE,Province / State
LBL_ADR_CITY,City
LBL_ADR_COUNTY,County
LBL_ADR_ADDRESS,Address
PH_ADR_ADDRESS,Please Enter Address
LBL_CURRENTADDRESS,Current address
LBL_STARTWKDATE,Start working Date
LBL_EXPERIENCE,Experience
PH_STARTWKDATE,Please Enter Start Working Date
LBL_TOTWKYEARS,Total working years
PH_TOTWKYEARS,Working years
LBL_TOTWKYEARSGAR,Working years in Inspection Industry
PH_TOTWKYEARSGAR,Working years in garment
LBL_MARKETSEGMENTS,Market segments
LBL_PRODUCTCATEGORIES, Product categories
LBL_EXPERTISE,Expertise
LBL_REMOVE,Remove
LBL_UPLOAD,Upload
LBL_RENEWSDATE,Renew - Start date
LBL_RENEWEDATE,Renew - Expired date
LBL_ADD,Add
LBL_ISCURRENTADDRESS,Current Address
LBL_COMPANY,Company
LBL_JOB,Job
LBL_SALARY,Salary
LBL_CURRENCY,Currency
LBL_STARTDATE,Start date
LBL_ENDDATE,End date
