INPUT,English,Portuguese
TITLE,Hello,olá
SELECT,Change language,alterar idioma.
TITLE,Login to your Fullbridge Link account,faça login na sua conta do fullbridge link.
TITLE_NEW,Login to your Link account,faça login na sua conta do link.
SUB_TITLE,Welcome to Fullbridge customer service portal. Login with username and password that you received.,bem-vindo ao portal de serviço ao cliente da fullbridge. faça login com o nome de usuário e senha que você recebeu.
FORGOT_PASSWORD,Forgot Password?,esqueci a senha.
REMIND_ME,Remind me,lembre-me.
MSG_USER_REQUIRED,Username is required,username é obrigatório.
MSG_PASSWD_REQUIRED,Password is required,senha é necessária.
MSG_NEW_PASSWD_LENGTH_RULE,New password should have atleast 6 characters in length,nova senha deve ter pelo menos 6 caracteres de comprimento.
MSG_NEW_PASSWD_CHAR_RULE,New password should have atleast one character,nova senha deve ter pelo menos um caractere.
MSG_NEW_PASSWD_NUMBER_RULE,New password should have atleast one number,a nova senha deve ter pelo menos um número.
MSG_NEW_PASSWD_UPPER_RULE,New password should have atleast one upper case,a nova senha deve ter pelo menos uma letra maiúscula.
MSG_NEW_PASSWD_SPECIAL_CHAR_RULE,New password should have atleast one special character,a nova senha deve ter pelo menos um caractere especial.
MSG_COMPARE_PASSWD,Confirm password not equal to New password,confirme a senha não é igual à nova senha.
MSG_PASSWD_RESULT,Password Result,resultado da senha.
MSG_CONFIRM_PASSWD_REQUIRED,Confirm Password is required,confirme a senha é obrigatória.
MSG_CURRENT_PASSWD_REQUIRED,Current Password is required,é necessário a senha atual.
MSG_NEW_PASSWD_REQUIRED,New Password is required,nova senha é necessária.
LBL_USERNAME,Enter user name,digite nome de usuário.
LBL_PASSWORD,Enter password,digite a senha.
LBL_MSG,"Do not let risks happen, let data manage your product supply chain.","não permita que os riscos aconteçam, deixe os dados gerenciarem a cadeia de suprimentos do seu produto."
LBL_LANGUAGE,Language,linguagem
LBL_LOGIN,Login,iniciar sessão.
LBL_EMAIL,Email,e-mail
LBL_TITLE,Can't Log in?,não é possível entrar.
LBL_USERID,User Id,identificação do usuário.
LBL_SEND,Send Recovery Email,enviar e-mail de recuperação
FOOTER,© 2019 - 2024 All rights reserved. Fullbridge.io,© 2019 - 2024 todos os direitos reservados. fullbridge.io.
FOOTER_NEW,All Rights Reserved.,todos os direitos reservados.
FOOTER_COPYRIGHT,Copyright,direitos autorais
LBL_TAGLINE_MAIN,Specialists In Quality Assurance For,especialistas em garantia de qualidade para.
LBL_TAGLINE_SUB,Household Goods and Toys,itens domésticos e brinquedos
LBL_PASSWORD_MAIN,Change Password,alterar senha
LBL_CURRENT_PASSWORD,Current Password,senha atual
LBL_CONFIRM_PASSWORD,Confirm Password,confirmar senha.
LBL_NEW_PASSWORD,New Password,nova senha
LBL_PASSWORD_RESET,Reset,redefinir.
MSG_CHANGEPASSWORD_SUCCESS,Password has been changed successfully,a senha foi alterada com sucesso.
MSG_RESETPASSWORD_SUCCESS,Password has been reset successfully,a senha foi redefinida com sucesso.
MSG_PASSWORD_NOTSAVED,Password Not Saved,senha não salva
MSG_CURRENT_PASSWORDNOTAVAIALABLE,Current password is incorrect,a senha atual está incorreta.
MSG_LOGINFAILED,The username or password you entered is incorrect.,o nome de usuário ou a senha que você digitou estão incorretos.
LBL_WARM_SAFETY,Worms Safety Website,website de segurança de vermes
LBL_Contact,Contact,contato
LBL_TERMS_CONDITION,Terms & Conditions,termos e condições.
MSG_VALID_USERID,Please enter a valid UserId,"por favor, insira um id de usuário válido."
LBL_RESET_PASSWORD,Reset Password,redefinir senha
MSG_SUCCESS_RESET,Recovery email send successfully,email de recuperação enviado com sucesso.
MSG_REQUIRED_EMAIL,UserId is required,userid é necessário.
MSG_PASSWORD_NOTRESET,Password Not Reset,senha não redefinida.
MSG_LOGIN_PASSWORD,Please Contact To Customer Service,"por favor, entre em contato com o serviço ao cliente."
TITLE,Staff Summary,resumo de equipe.
LBL_SEARCH,Search,buscar
LBL_NEMPLOYEE,Employee No,número do funcionário
PH_LNEMPLOYEE,Please Enter Employee No,"por favor, insira o número do funcionário."
LBL_POSITION,Position,posição
LBL_SELECT,Select,selecionar
LBL_DEPARTMENT,Department,departamento
LBL_STAFFNAME,Staff Name,nome do funcionário
PH_STAFFNAME,Please Enter Staff Name,"por favor, digite o nome do funcionário."
LBL_OFFICE,Fullbridge Office,escritório fullbridge.
LBL_COUNTRY,Country,país
LBL_ADD,Add,adicionar
LBL_EXPORT,Export,exportar
LBL_NAME,Name,nome
LBL_COUNTRYNAME,Country name,nome do país
LBL_JOINDATE,Join Date,data de cadastro
LBL_OFFICENAME,Office name,nome do escritório.
LBL_EMPLOYEETYPE,Employee Type,tipo de funcionário
MSG_SHOWING,Showing,mostrando
MSG_TO,to,para
MSG_OF,of,da
MSG_RECORDS,records,registros
LBL_PREVIOUS,Previous,anterior
LBL_NEXT,Next,próximo.
SELECTALL,Select all,selecionar tudo
UNSELECTALL,Unselect all,desmarcar todos.
LBL_REMOVE,Remove,remover
LBL_CONFIRMDELETION,Confirm deletion,confirmar exclusão
LBL_CONFIRMQUESTION,Are you sure you want to delete,você tem certeza que deseja excluir?
LBL_CONFIRMDEL,All information associated to this user profile will be permanently deleted.,toda informação associada a este perfil de usuário será permanentemente deletada.
LBL_CONFIRMNOTUNDONE,This operation can not be undone,esta operação não pode ser desfeita.
LBL_CONFIRMCANCEL,Cancel,cancelar
LBL_CONFIRMOK,OK,"está bem. a tradução para português de ""ok"" é ""está bem""."
LBL_DELETE,Delete,apagar
LBL_LEAVEDATE,Leave date,data de saída.
PH_LEAVEDATE,Leave date,data de saída.
LBL_REASON,Reason,razão
PH_REASON,Reason,razão
MSG_LEAVEDATE_REQ,Leave date is required,a data de saída é obrigatória.
MSG_LEAVEDATE_DATE,Leave date has no valid date,a data de saída não possui uma data válida.
MSG_REASON_REQ,Reason is required,a razão é necessária.
MSG_STATUS_REQ,Status is required,status é obrigatório.
LBL_STATUS_NAME,Status Name,nome do status
MSG_USER_ACCOUNT_NOT_DELETE,User Acoount not Deleted,conta do usuário não foi deletada.
LBL_HELLO,Hello,oi.
LBL_ONLINE,Online,"online significa ""online"" em português."
LBL_WELCOME,Welcome,bem-vindo.
LBL_CHANGEPASSWD,Change password,alterar senha
LBL_SIGNOUT,Sign out,sair.
LBL_NOTIFICATION,Notification (Top 50),notificação (top 50)
LBL_TASK,Task (Top 50),tarefa (top 50)
LBL_APPEARANCE,Appearance,aparência
LBL_LIGHT_MODE,Light Mode,modo claro
LBL_DARK_MODE,Dark Mode,modo escuro
MSG_NO_TASK,No Pending Task,sem tarefa pendente.
MSG_NO_NOTIFICATION,No Pending Notification,sem notificação pendente.
LBL_HEADER_HELP_YOU,We’re here to help you!,estamos aqui para te ajudar!
LBL_HEADER_PLEASE_CONTACT_US,"Please contact us with any questions, we’re always happy to help.","por favor, entre em contato conosco com qualquer pergunta, estamos sempre felizes em ajudar."
LBL_SERVICE_DESK,Fullbridge IT support,suporte de ti da fullbridge
LBL_CREATE_NEW_TICKET,Create New Ticket,criar novo chamado.
LBL_SEND_QUERY,Send Query,enviar consulta
LBL_SUPPLIER_PLS_SEND_EMAIL,please contact us with the following email,"por favor, entre em contato conosco com o seguinte email."
LBL_CUSTOMER_SERVICE_EXECUTIVE,Customer Service Executive,executivo de atendimento ao cliente.
LBL_SGT_TITLE_1,"Monitor and manage your textile quality actions anytime, and anywhere.",monitorar e gerenciar suas ações de qualidade têxtil a qualquer momento e em qualquer lugar.
LBL_SGT_TITLE_2,Full visibility in 1 single platform,total visibilidade em uma única plataforma.
LBL_SGT_TITLE_3,Dynamic statistics & KPIs,estatísticas dinâmicas e indicadores-chave de desempenho.
LBL_SGT_TITLE_4,"Textile, apparel & footwear expertise","expertise em têxteis, vestuário e calçados."
LBL_SGT_TITLE_5,ROI oriented technical solutions,soluções técnicas orientadas para o roi.
LBL_SGT_TITLE_6,Field x lab cross-expertise,expertise cruzada em campo e laboratório.
LBL_SGT_TITLE_7,Download the Fullbridge Link,baixe o link fullbridge.
LBL_SGT_TITLE_8,Visit our blog for the latest industry news,visite nosso blog para as últimas notícias do setor.
LBL_SGT_TITLE_9,TM,gestão do conhecimento.
LBL_SGT_TITLE_10,mobile app,aplicativo móvel
LBL_AQF_TITLE_1,"Monitor and manage your textile quality actions anytime, and anywhere.",monitorar e gerenciar suas ações de qualidade têxtil a qualquer momento e em qualquer lugar.
LBL_AQF_TITLE_2,Full visibility in 1 single platform,visibilidade total em uma única plataforma.
LBL_AQF_TITLE_3,Dynamic statistics & KPIs,estatísticas dinâmicas e indicadores-chave de desempenho.
LBL_AQF_TITLE_4,Consumer goods expertise,expertise em bens de consumo.
LBL_AQF_TITLE_5,Same day report & 1-day advance booking,relatório do mesmo dia e reserva antecipada de um dia.
LBL_AQF_TITLE_6,100% tailor-made solutions,soluções feitas sob medida 100%
LBL_AQF_TITLE_7,Visit our blog for the latest industry news,visite nosso blog para as últimas notícias do setor.
LBL_AQF_TITLE_8,Download the AQF Link,baixe o link do aqf.
LBL_AQF_TITLE_9,TM,marca registrada
LBL_AQF_TITLE_10,mobile app,aplicativo móvel
LBL_API_TITLE_1,"Monitor and manage your household goods & toys quality actions anytime, and anywhere.",monitorar e gerenciar as ações de qualidade de seus bens domésticos e brinquedos a qualquer momento e em qualquer lugar.
LBL_API_TITLE_2,Full visibility in 1 single platform,total visibilidade em uma única plataforma.
LBL_API_TITLE_3,Dynamic statistics & KPIs,estatísticas dinâmicas e indicadores chave de desempenho.
LBL_API_TITLE_4,Household goods & toys expertise,expertise em bens domésticos e brinquedos.
LBL_API_TITLE_5,ROI oriented technical solutions,soluções técnicas orientadas para o retorno sobre o investimento.
LBL_API_TITLE_6,Field x lab cross-expertise ,"a tradução para português de ""field x lab cross-expertise"" é ""experiência cruzada entre campo e laboratório""."
LBL_API_TITLE_7,Visit our blog for the latest industry news,visite nosso blog para as últimas notícias do setor.
LBL_API_TITLE_8,Download the Fullbridge Link,baixe o link fullbridge.
LBL_API_TITLE_9,TM,"tm em português significa ""marca registrada""."
LBL_API_TITLE_10,mobile app,aplicativo móvel
LBL_INSPECTION,Inspection,inspeção
LBL_INSPECTION_SUB_TITLE,"Raw materials, product quality & compliance at any stage","matérias-primas, qualidade do produto e conformidade em qualquer estágio."
LBL_AUDIT,Audit,auditoria.
LBL_AUDIT_SUB_TITLE,"Technical, Social & Environmental","técnico, social e ambiental."
LBL_LAB,Lab Testing,teste de laboratório
LBL_LAB_SUB_TITLE,"Compliance, Fit-for-Use & Performance","compliance: conformidade
fit-for-use: adequado para uso
performance: desempenho"
LBL_TCF,I -TCF,identifique a sua terra de grupos focais.
